"","coords.x1","coords.x2",""
"1",389811.5,288576.5,105.25
"2",389780.5,288641.5,108.98999786377
"3",389760.5,288537.5,109.129997253418
"4",389768.5,288627.5,108.389999389648
"5",389793.5,288568.5,106.930000305176
"6",389777.5,288559.5,107
"7",389779.5,288520.5,109.129997253418
"8",389791.5,288564.5,107.319999694824
"9",389774.5,288608.5,108.459999084473
"10",389808.5,288559.5,105.680000305176
"11",389795.5,288574.5,106.360000610352
"12",389769.5,288533.5,107.959999084473
"13",389767.5,288536.5,109.110000610352
"14",389774.5,288556.5,107.199996948242
"15",389798.5,288627.5,106.589996337891
"16",389778.5,288591.5,107.519996643066
"17",389762.5,288549.5,108.860000610352
"18",389788.5,288539.5,107.599998474121
"19",389809.5,288561.5,105.620002746582
"20",389768.5,288543.5,108.940002441406
"21",389795.5,288585.5,106.199996948242
"22",389765.5,288547.5,108.959999084473
"23",389780.5,288521.5,109.040000915527
"24",389802.5,288532.5,106.410003662109
"25",389795.5,288537.5,106.919998168945
"26",389766.5,288596.5,107.629997253418
"27",389787.5,288638.5,106.480003356934
"28",389788.5,288517.5,107.800003051758
"29",389771.5,288516.5,106.730003356934
"30",389805.5,288546.5,106.099998474121
"31",389760.5,288561.5,108.550003051758
"32",389797.5,288532.5,106.73999786377
"33",389788.5,288630.5,106.919998168945
"34",389810.5,288623.5,107.470001220703
"35",389765.5,288609.5,108.01000213623
"36",389797.5,288597.5,106.080001831055
"37",389766.5,288519.5,108.26000213623
"38",389806.5,288553.5,105.940002441406
"39",389788.5,288515.5,107.75
"40",389789.5,288545.5,107.610000610352
"41",389763.5,288558.5,108.559997558594
"42",389799.5,288636.5,106.879997253418
"43",389797.5,288562.5,106.290000915527
"44",389810.5,288591.5,104.959999084473
"45",389772.5,288594.5,109.089996337891
"46",389769.5,288517.5,107.139999389648
"47",389795.5,288556.5,106.940002441406
"48",389766.5,288533.5,109.199996948242
"49",389774.5,288636.5,108.290000915527
"50",389768.5,288539.5,108.819999694824
"51",389768.5,288532.5,108.330001831055
"52",389808.5,288557.5,105.73999786377
"53",389787.5,288637.5,106.529998779297
"54",389793.5,288530.5,107.099998474121
"55",389799.5,288556.5,106.330001831055
"56",389771.5,288532.5,107.180000305176
"57",389768.5,288618.5,109.139999389648
"58",389771.5,288561.5,108.669998168945
"59",389796.5,288547.5,107.129997253418
"60",389804.5,288620.5,106.230003356934
"61",389762.5,288574.5,108.139999389648
"62",389772.5,288567.5,108.610000610352
"63",389808.5,288614.5,105.580001831055
"64",389801.5,288572.5,105.879997253418
"65",389792.5,288533.5,107.190002441406
"66",389778.5,288631.5,108.769996643066
"67",389774.5,288629.5,107.449996948242
"68",389804.5,288539.5,106.209999084473
"69",389792.5,288573.5,106.870002746582
"70",389795.5,288639.5,106.620002746582
"71",389774.5,288565.5,107.629997253418
"72",389801.5,288623.5,107.269996643066
"73",389792.5,288563.5,107.400001525879
"74",389777.5,288597.5,107.620002746582
"75",389786.5,288531.5,109
"76",389791.5,288527.5,107.269996643066
"77",389792.5,288637.5,106.699996948242
"78",389768.5,288608.5,108.620002746582
"79",389795.5,288560.5,106.73999786377
"80",389774.5,288625.5,107.449996948242
"81",389800.5,288604.5,105.559997558594
"82",389772.5,288527.5,107.080001831055
"83",389773.5,288524.5,107.069999694824
"84",389803.5,288531.5,106.339996337891
"85",389772.5,288536.5,107.410003662109
"86",389776.5,288584.5,107.910003662109
"87",389768.5,288632.5,107.589996337891
"88",389765.5,288581.5,108.069999694824
"89",389778.5,288616.5,107.76000213623
"90",389781.5,288525.5,108.949996948242
"91",389816.5,288611.5,104.849998474121
"92",389791.5,288553.5,107.059997558594
"93",389772.5,288580.5,108.959999084473
"94",389800.5,288554.5,106.23999786377
"95",389796.5,288530.5,106.839996337891
"96",389779.5,288602.5,107.180000305176
"97",389762.5,288629.5,108.660003662109
"98",389803.5,288579.5,105.98999786377
"99",389795.5,288641.5,106.580001831055
"100",389795.5,288543.5,107.040000915527
"101",389802.5,288582.5,106.069999694824
"102",389801.5,288598.5,105.5
"103",389802.5,288610.5,105.830001831055
"104",389810.5,288577.5,105.339996337891
"105",389807.5,288588.5,105.330001831055
"106",389794.5,288554.5,107.01000213623
"107",389781.5,288514.5,108.800003051758
"108",389783.5,288637.5,108.599998474121
"109",389766.5,288538.5,109.209999084473
"110",389806.5,288593.5,105.279998779297
"111",389807.5,288632.5,106.730003356934
"112",389761.5,288603.5,107.51000213623
